svlc
train
.\data\FlatFaultA\seismic1.npy .\data\FlatFaultA\vmodel1.npy .\data\FlatFaultA\lvmodel1.npy .\data\FlatFaultA\cvmodel1.npy
.\data\FlatFaultA\seismic54.npy .\data\FlatFaultA\vmodel54.npy .\data\FlatFaultA\lvmodel54.npy .\data\FlatFaultA\cvmodel54.npy
.\data\FlatFaultA\seismic55.npy .\data\FlatFaultA\vmodel55.npy .\data\FlatFaultA\lvmodel55.npy .\data\FlatFaultA\cvmodel55.npy
.\data\FlatFaultA\seismic56.npy .\data\FlatFaultA\vmodel56.npy .\data\FlatFaultA\lvmodel56.npy .\data\FlatFaultA\cvmodel56.npy
.\data\FlatFaultA\seismic57.npy .\data\FlatFaultA\vmodel57.npy .\data\FlatFaultA\lvmodel57.npy .\data\FlatFaultA\cvmodel57.npy
.\data\FlatFaultA\seismic58.npy .\data\FlatFaultA\vmodel58.npy .\data\FlatFaultA\lvmodel58.npy .\data\FlatFaultA\cvmodel58.npy
.\data\FlatFaultA\seismic59.npy .\data\FlatFaultA\vmodel59.npy .\data\FlatFaultA\lvmodel59.npy .\data\FlatFaultA\cvmodel59.npy
.\data\FlatFaultA\seismic60.npy .\data\FlatFaultA\vmodel60.npy .\data\FlatFaultA\lvmodel60.npy .\data\FlatFaultA\cvmodel60.npy
.\data\FlatFaultA\seismic61.npy .\data\FlatFaultA\vmodel61.npy .\data\FlatFaultA\lvmodel61.npy .\data\FlatFaultA\cvmodel61.npy
.\data\FlatFaultA\seismic62.npy .\data\FlatFaultA\vmodel62.npy .\data\FlatFaultA\lvmodel62.npy .\data\FlatFaultA\cvmodel62.npy
.\data\FlatFaultA\seismic63.npy .\data\FlatFaultA\vmodel63.npy .\data\FlatFaultA\lvmodel63.npy .\data\FlatFaultA\cvmodel63.npy
.\data\FlatFaultA\seismic64.npy .\data\FlatFaultA\vmodel64.npy .\data\FlatFaultA\lvmodel64.npy .\data\FlatFaultA\cvmodel64.npy
.\data\FlatFaultA\seismic65.npy .\data\FlatFaultA\vmodel65.npy .\data\FlatFaultA\lvmodel65.npy .\data\FlatFaultA\cvmodel65.npy
.\data\FlatFaultA\seismic66.npy .\data\FlatFaultA\vmodel66.npy .\data\FlatFaultA\lvmodel66.npy .\data\FlatFaultA\cvmodel66.npy
.\data\FlatFaultA\seismic67.npy .\data\FlatFaultA\vmodel67.npy .\data\FlatFaultA\lvmodel67.npy .\data\FlatFaultA\cvmodel67.npy
.\data\FlatFaultA\seismic68.npy .\data\FlatFaultA\vmodel68.npy .\data\FlatFaultA\lvmodel68.npy .\data\FlatFaultA\cvmodel68.npy
.\data\FlatFaultA\seismic69.npy .\data\FlatFaultA\vmodel69.npy .\data\FlatFaultA\lvmodel69.npy .\data\FlatFaultA\cvmodel69.npy
.\data\FlatFaultA\seismic70.npy .\data\FlatFaultA\vmodel70.npy .\data\FlatFaultA\lvmodel70.npy .\data\FlatFaultA\cvmodel70.npy
.\data\FlatFaultA\seismic71.npy .\data\FlatFaultA\vmodel71.npy .\data\FlatFaultA\lvmodel71.npy .\data\FlatFaultA\cvmodel71.npy
.\data\FlatFaultA\seismic72.npy .\data\FlatFaultA\vmodel72.npy .\data\FlatFaultA\lvmodel72.npy .\data\FlatFaultA\cvmodel72.npy
.\data\FlatFaultA\seismic73.npy .\data\FlatFaultA\vmodel73.npy .\data\FlatFaultA\lvmodel73.npy .\data\FlatFaultA\cvmodel73.npy
.\data\FlatFaultA\seismic74.npy .\data\FlatFaultA\vmodel74.npy .\data\FlatFaultA\lvmodel74.npy .\data\FlatFaultA\cvmodel74.npy
.\data\FlatFaultA\seismic75.npy .\data\FlatFaultA\vmodel75.npy .\data\FlatFaultA\lvmodel75.npy .\data\FlatFaultA\cvmodel75.npy
.\data\FlatFaultA\seismic76.npy .\data\FlatFaultA\vmodel76.npy .\data\FlatFaultA\lvmodel76.npy .\data\FlatFaultA\cvmodel76.npy
.\data\FlatFaultA\seismic77.npy .\data\FlatFaultA\vmodel77.npy .\data\FlatFaultA\lvmodel77.npy .\data\FlatFaultA\cvmodel77.npy
.\data\FlatFaultA\seismic78.npy .\data\FlatFaultA\vmodel78.npy .\data\FlatFaultA\lvmodel78.npy .\data\FlatFaultA\cvmodel78.npy
.\data\FlatFaultA\seismic79.npy .\data\FlatFaultA\vmodel79.npy .\data\FlatFaultA\lvmodel79.npy .\data\FlatFaultA\cvmodel79.npy
.\data\FlatFaultA\seismic80.npy .\data\FlatFaultA\vmodel80.npy .\data\FlatFaultA\lvmodel80.npy .\data\FlatFaultA\cvmodel80.npy
.\data\FlatFaultA\seismic81.npy .\data\FlatFaultA\vmodel81.npy .\data\FlatFaultA\lvmodel81.npy .\data\FlatFaultA\cvmodel81.npy
.\data\FlatFaultA\seismic82.npy .\data\FlatFaultA\vmodel82.npy .\data\FlatFaultA\lvmodel82.npy .\data\FlatFaultA\cvmodel82.npy
.\data\FlatFaultA\seismic83.npy .\data\FlatFaultA\vmodel83.npy .\data\FlatFaultA\lvmodel83.npy .\data\FlatFaultA\cvmodel83.npy
.\data\FlatFaultA\seismic84.npy .\data\FlatFaultA\vmodel84.npy .\data\FlatFaultA\lvmodel84.npy .\data\FlatFaultA\cvmodel84.npy
.\data\FlatFaultA\seismic85.npy .\data\FlatFaultA\vmodel85.npy .\data\FlatFaultA\lvmodel85.npy .\data\FlatFaultA\cvmodel85.npy
.\data\FlatFaultA\seismic86.npy .\data\FlatFaultA\vmodel86.npy .\data\FlatFaultA\lvmodel86.npy .\data\FlatFaultA\cvmodel86.npy
.\data\FlatFaultA\seismic87.npy .\data\FlatFaultA\vmodel87.npy .\data\FlatFaultA\lvmodel87.npy .\data\FlatFaultA\cvmodel87.npy
.\data\FlatFaultA\seismic88.npy .\data\FlatFaultA\vmodel88.npy .\data\FlatFaultA\lvmodel88.npy .\data\FlatFaultA\cvmodel88.npy
.\data\FlatFaultA\seismic89.npy .\data\FlatFaultA\vmodel89.npy .\data\FlatFaultA\lvmodel89.npy .\data\FlatFaultA\cvmodel89.npy
.\data\FlatFaultA\seismic90.npy .\data\FlatFaultA\vmodel90.npy .\data\FlatFaultA\lvmodel90.npy .\data\FlatFaultA\cvmodel90.npy
.\data\FlatFaultA\seismic91.npy .\data\FlatFaultA\vmodel91.npy .\data\FlatFaultA\lvmodel91.npy .\data\FlatFaultA\cvmodel91.npy
.\data\FlatFaultA\seismic92.npy .\data\FlatFaultA\vmodel92.npy .\data\FlatFaultA\lvmodel92.npy .\data\FlatFaultA\cvmodel92.npy
.\data\FlatFaultA\seismic93.npy .\data\FlatFaultA\vmodel93.npy .\data\FlatFaultA\lvmodel93.npy .\data\FlatFaultA\cvmodel93.npy
.\data\FlatFaultA\seismic94.npy .\data\FlatFaultA\vmodel94.npy .\data\FlatFaultA\lvmodel94.npy .\data\FlatFaultA\cvmodel94.npy
.\data\FlatFaultA\seismic95.npy .\data\FlatFaultA\vmodel95.npy .\data\FlatFaultA\lvmodel95.npy .\data\FlatFaultA\cvmodel95.npy
.\data\FlatFaultA\seismic96.npy .\data\FlatFaultA\vmodel96.npy .\data\FlatFaultA\lvmodel96.npy .\data\FlatFaultA\cvmodel96.npy
test
.\data\FlatFaultA\seismic97.npy .\data\FlatFaultA\vmodel97.npy .\data\FlatFaultA\lvmodel97.npy .\data\FlatFaultA\cvmodel97.npy
.\data\FlatFaultA\seismic98.npy .\data\FlatFaultA\vmodel98.npy .\data\FlatFaultA\lvmodel98.npy .\data\FlatFaultA\cvmodel98.npy
.\data\FlatFaultA\seismic99.npy .\data\FlatFaultA\vmodel99.npy .\data\FlatFaultA\lvmodel99.npy .\data\FlatFaultA\cvmodel99.npy
.\data\FlatFaultA\seismic100.npy .\data\FlatFaultA\vmodel100.npy .\data\FlatFaultA\lvmodel100.npy .\data\FlatFaultA\cvmodel100.npy
.\data\FlatFaultA\seismic101.npy .\data\FlatFaultA\vmodel101.npy .\data\FlatFaultA\lvmodel101.npy .\data\FlatFaultA\cvmodel101.npy
.\data\FlatFaultA\seismic102.npy .\data\FlatFaultA\vmodel102.npy .\data\FlatFaultA\lvmodel102.npy .\data\FlatFaultA\cvmodel102.npy
.\data\FlatFaultA\seismic103.npy .\data\FlatFaultA\vmodel103.npy .\data\FlatFaultA\lvmodel103.npy .\data\FlatFaultA\cvmodel103.npy
.\data\FlatFaultA\seismic104.npy .\data\FlatFaultA\vmodel104.npy .\data\FlatFaultA\lvmodel104.npy .\data\FlatFaultA\cvmodel104.npy
.\data\FlatFaultA\seismic105.npy .\data\FlatFaultA\vmodel105.npy .\data\FlatFaultA\lvmodel105.npy .\data\FlatFaultA\cvmodel105.npy
.\data\FlatFaultA\seismic106.npy .\data\FlatFaultA\vmodel106.npy .\data\FlatFaultA\lvmodel106.npy .\data\FlatFaultA\cvmodel106.npy
.\data\FlatFaultA\seismic107.npy .\data\FlatFaultA\vmodel107.npy .\data\FlatFaultA\lvmodel107.npy .\data\FlatFaultA\cvmodel107.npy
.\data\FlatFaultA\seismic108.npy .\data\FlatFaultA\vmodel108.npy .\data\FlatFaultA\lvmodel108.npy .\data\FlatFaultA\cvmodel108.npy
